call_number,file1,file2
ENA NS 16 005,ENA_NS_16_005_r.tif.jpg,ENA_NS_16_005_v.tif.jpg
ENA NS 16 006,ENA_NS_16_006_r.tif.jpg,ENA_NS_16_006_v.tif.jpg
ENA NS 16 007,ENA_NS_16_007_r.tif.jpg,ENA_NS_16_007_v.tif.jpg
ENA NS 16 008,ENA_NS_16_008_r.tif.jpg,ENA_NS_16_008_v.tif.jpg
ENA NS 16 009,ENA_NS_16_009_r.tif.jpg,ENA_NS_16_009_v.tif.jpg
ENA NS 16 010,ENA_NS_16_010_r.tif.jpg,ENA_NS_16_010_v.tif.jpg
ENA NS 16 011,ENA_NS_16_011_r.tif.jpg,ENA_NS_16_011_v.tif.jpg
ENA NS 16 012,ENA_NS_16_012_r.tif.jpg,ENA_NS_16_012_v.tif.jpg
ENA NS 16 013,ENA_NS_16_013_r.tif.jpg,ENA_NS_16_013_v.tif.jpg
ENA NS 16 014,ENA_NS_16_014_r.tif.jpg,ENA_NS_16_014_v.tif.jpg
ENA NS 16 015,ENA_NS_16_015_r.tif.jpg,ENA_NS_16_015_v.tif.jpg
ENA NS 16 016,ENA_NS_16_016_r.tif.jpg,ENA_NS_16_016_v.tif.jpg
ENA NS 16 017,ENA_NS_16_017_r.tif.jpg,ENA_NS_16_017_v.tif.jpg
ENA NS 16 018,ENA_NS_16_018_r.tif.jpg,ENA_NS_16_018_v.tif.jpg
ENA NS 16 019,ENA_NS_16_019_r.tif.jpg,ENA_NS_16_019_v.tif.jpg
ENA NS 16 020,ENA_NS_16_020_r.tif.jpg,ENA_NS_16_020_v.tif.jpg
ENA NS 16 021,ENA_NS_16_021_r.tif.jpg,ENA_NS_16_021_v.tif.jpg
ENA NS 16 022,ENA_NS_16_022_r.tif.jpg,ENA_NS_16_022_v.tif.jpg
ENA NS 16 023,ENA_NS_16_023_r.tif.jpg,ENA_NS_16_023_v.tif.jpg
ENA NS 16 024,ENA_NS_16_024_r.tif.jpg,ENA_NS_16_024_v.tif.jpg
ENA NS 16 025,ENA_NS_16_025_r.tif.jpg,ENA_NS_16_025_v.tif.jpg
ENA NS 16 026,ENA_NS_16_026_r.tif.jpg,ENA_NS_16_026_v.tif.jpg
ENA NS 16 027,ENA_NS_16_027_r.tif.jpg,ENA_NS_16_027_v.tif.jpg
ENA NS 16 028,ENA_NS_16_028_r.tif.jpg,ENA_NS_16_028_v.tif.jpg
ENA NS 16 029,ENA_NS_16_029_r.tif.jpg,ENA_NS_16_029_v.tif.jpg
ENA NS 16 030,ENA_NS_16_030_r.tif.jpg,ENA_NS_16_030_v.tif.jpg
ENA NS 16 031,ENA_NS_16_031_r.tif.jpg,ENA_NS_16_031_v.tif.jpg
ENA NS 16 032,ENA_NS_16_032_r.tif.jpg,ENA_NS_16_032_v.tif.jpg
ENA NS 16 033,ENA_NS_16_033_r.tif.jpg,ENA_NS_16_033_v.tif.jpg
ENA NS 16 034,ENA_NS_16_034_r.tif.jpg,ENA_NS_16_034_v.tif.jpg
ENA NS 16 035,ENA_NS_16_035_r.tif.jpg,ENA_NS_16_035_v.tif.jpg
ENA NS 16 036,ENA_NS_16_036_r.tif.jpg,ENA_NS_16_036_v.tif.jpg
ENA NS 20 001,ENA_NS_20_001_r.tif.jpg,ENA_NS_20_001_v.tif.jpg
ENA NS 20 002,ENA_NS_20_002_r.tif.jpg,ENA_NS_20_002_v.tif.jpg
ENA NS 20 003,ENA_NS_20_003_r.tif.jpg,ENA_NS_20_003_v.tif.jpg
ENA NS 20 004,ENA_NS_20_004_r.tif.jpg,ENA_NS_20_004_v.tif.jpg
ENA NS 20 005,ENA_NS_20_005_r.tif.jpg,ENA_NS_20_005_v.tif.jpg
ENA NS 24 001,ENA_NS_24_001_r.tif.jpg,ENA_NS_24_001_v.tif.jpg
ENA NS 24 002,ENA_NS_24_002_r.tif.jpg,ENA_NS_24_002_v.tif.jpg
ENA NS 24 003,ENA_NS_24_003_r.tif.jpg,ENA_NS_24_003_v.tif.jpg
ENA NS 24 004,ENA_NS_24_004_r.tif.jpg,ENA_NS_24_004_v.tif.jpg
ENA NS 24 005,ENA_NS_24_005_r.tif.jpg,ENA_NS_24_005_v.tif.jpg
ENA NS 24 006,ENA_NS_24_006_r.tif.jpg,ENA_NS_24_006_v.tif.jpg
ENA NS 24 007,ENA_NS_24_007_r.tif.jpg,ENA_NS_24_007_v.tif.jpg
ENA NS 24 008,ENA_NS_24_008_r.tif.jpg,ENA_NS_24_008_v.tif.jpg
ENA NS 24 009,ENA_NS_24_009_r.tif.jpg,ENA_NS_24_009_v.tif.jpg
ENA NS 24 010,ENA_NS_24_010_r.tif.jpg,ENA_NS_24_010_v.tif.jpg
ENA NS 24 011,ENA_NS_24_011_r.tif.jpg,ENA_NS_24_011_v.tif.jpg
ENA NS 24 012,ENA_NS_24_012_r.tif.jpg,ENA_NS_24_012_v.tif.jpg
ENA NS 24 013,ENA_NS_24_013_r.tif.jpg,ENA_NS_24_013_v.tif.jpg
ENA NS 24 014,ENA_NS_24_014_r.tif.jpg,ENA_NS_24_014_v.tif.jpg
ENA NS 24 015,ENA_NS_24_015_r.tif.jpg,ENA_NS_24_015_v.tif.jpg
ENA NS 24 016,ENA_NS_24_016_r.tif.jpg,ENA_NS_24_016_v.tif.jpg
ENA NS 24 017,ENA_NS_24_017_r.tif.jpg,ENA_NS_24_017_v.tif.jpg
